"GitHub growth history. Sources: state of the Octoverse editions and ""GitHub"" and ""Timeline of GitHub"" Wikipedia entries",,,,,,
,,,,,,
date,users,unique_public_repos,repos_forked_once,organizations,merged_pull_requests,total_repos
2008-02-01,6000,0,0,,,2500
2009-11-03,100000,90000,12000,,,135000
2010-07-25,,,,,,1000000
2011-04-20,,,,,,2000000
2013-04-11,3500000,,,,,6000000
2013-12-23,,,,,,10000000
2015-03-30,9000000,,,,,21100000
2015-09-01,10000000,,,,,
2016-01-28,,,,,,29000000
2016-09-14,,19400000,,,,
2017-10-19,24000000,,,1500000,,67000000
2018-10-16,31000000,,,2100000,200000000,96000000
2019-11-06,40000000,,,,287000000,140000000
